u_cor_T pi_T_ts TFP eta_is_T_ts u_c0 Cp_3 Cv_3 kappa_Exhaust TW_d5 VS P_T m_dot_T p_4_st sln counter eta_thermo pudu nsw pt3 tt3 cspr p3in1 p3in2 ipr etaw r* forceX forceY alphaup alphadn
[m/s] [] [(kg/s)*(sqrt(K)/Pa)] [] [] [J/kgK] [J/kgK] [] [m] [%] [W] [kg/s] [Pa] [] [] [] [s] [] [Pa] [K] [] [Pa] [Pa] [] [] [] [N] [N] [deg] [deg]
230 1.273050e+00 1.347140e+00 7.251230e-01 6.700320e-01 1136 0 1.339930e+00 55.0 999.0 2.457390e+03 5.752100e-02 9.910020e+04 1 0 7.175350e-01 1.000000e+00 2.457390e+03 1.261590e+05 8.730000e+02 9.935900e-01 1.254650e+05 1.252960e+05 1.265490e+00 7.423310e-01 8.004830e-01 -1.051920e-01 3.916010e-01 -1.545239e+02 1.114363e+02
230 1.303920e+00 1.418080e+00 7.330950e-01 6.400290e-01 1136 0 1.339930e+00 55.0 999.0 2.935660e+03 6.201820e-02 9.910030e+04 1 1 7.268620e-01 1.000000e+00 2.935660e+03 1.292190e+05 8.730000e+02 9.936918e-01 1.284270e+05 1.282420e+05 1.295500e+00 7.502970e-01 7.973150e-01 1.070760e-01 4.783120e-01 -1.544081e+02 1.048261e+02
230 1.340630e+00 1.479870e+00 7.267050e-01 6.100260e-01 1136 0 1.339930e+00 55.0 999.0 3.437050e+03 6.654250e-02 9.910020e+04 1 2 7.215130e-01 1.000000e+00 3.437050e+03 1.328570e+05 8.730000e+02 9.938843e-01 1.319660e+05 1.317650e+05 1.331360e+00 7.432170e-01 7.985430e-01 2.083410e-01 6.986980e-01 -1.542632e+02 9.874928e+01
230 1.384820e+00 1.550980e+00 7.234330e-01 5.800210e-01 1136 0 1.339930e+00 55.0 999.0 4.097370e+03 7.203900e-02 9.909990e+04 1 3 7.194340e-01 1.000000e+00 4.097370e+03 1.372360e+05 8.730000e+02 9.937778e-01 1.362250e+05 1.359940e+05 1.374490e+00 7.393500e-01 7.988250e-01 8.430300e-02 8.628970e-01 -1.540225e+02 9.213161e+01
230 1.438780e+00 1.620260e+00 7.118030e-01 5.500180e-01 1136 0 1.339930e+00 55.0 999.0 4.866040e+03 7.818870e-02 9.909990e+04 1 4 7.087160e-01 1.000000e+00 4.866040e+03 1.425830e+05 8.730000e+02 9.937878e-01 1.414360e+05 1.411730e+05 1.427260e+00 7.267750e-01 8.014090e-01 -7.740880e-02 1.028930e+00 -1.537813e+02 8.631495e+01
230 1.505770e+00 1.692190e+00 6.975830e-01 5.200150e-01 1136 0 1.339930e+00 55.0 999.0 5.831250e+03 8.546170e-02 9.909980e+04 1 5 6.952010e-01 1.000000e+00 5.831250e+03 1.492210e+05 8.730000e+02 9.935882e-01 1.479160e+05 1.476030e+05 1.492880e+00 7.114440e-01 8.050410e-01 -4.708530e-01 1.216890e+00 -1.535739e+02 8.080825e+01
230 1.590610e+00 1.767490e+00 6.806050e-01 4.900110e-01 1136 0 1.339930e+00 55.0 999.0 7.069590e+03 9.429420e-02 9.909940e+04 1 6 6.789210e-01 1.000000e+00 7.069590e+03 1.576290e+05 8.730000e+02 9.935292e-01 1.561250e+05 1.557560e+05 1.576060e+00 6.932690e-01 8.096650e-01 -6.178920e-01 1.240400e+00 -1.532760e+02 7.563215e+01
230 1.700660e+00 1.839980e+00 6.552760e-01 4.600120e-01 1136 0 1.339930e+00 55.0 999.0 8.596290e+03 1.049540e-01 9.910010e+04 1 7 6.540640e-01 1.000000e+00 8.596290e+03 1.685360e+05 8.730000e+02 9.939571e-01 1.667830e+05 1.663740e+05 1.684130e+00 6.665350e-01 8.166070e-01 1.911560e-01 1.408450e+00 -1.529150e+02 7.108286e+01
230 1.847760e+00 1.913470e+00 6.285770e-01 4.300090e-01 1136 0 1.339930e+00 55.0 999.0 1.066260e+04 1.185860e-01 9.910000e+04 1 8 6.277910e-01 1.000000e+00 1.066260e+04 1.831130e+05 8.730000e+02 9.941914e-01 1.810480e+05 1.805720e+05 1.828790e+00 6.383480e-01 8.251070e-01 5.503750e-01 1.796320e+00 -1.525643e+02 6.674443e+01
